step,coherence,entropy,energy_loss
0,0.995694,7.536368,0.084043
1,0.995694,7.536368,0.084043
2,0.995694,7.536368,0.084043
3,0.995694,7.536368,0.084043
4,0.995694,7.536368,0.084043
5,0.995694,7.536368,0.084043
6,0.995694,7.536368,0.084043
7,0.995694,7.536368,0.084043
8,0.995694,7.536368,0.084043
9,0.995694,7.536368,0.084043
10,0.995694,7.536368,0.084043
11,0.995694,7.536368,0.084043
12,0.995694,7.536368,0.084043
13,0.995694,7.536368,0.084043
14,0.995694,7.536368,0.084043
15,0.995694,7.536368,0.084043
16,0.995694,7.536368,0.084043
17,0.995694,7.536368,0.084043
18,0.995694,7.536368,0.084043
19,0.995694,7.536368,0.084043
20,0.995694,7.536368,0.084043
21,0.995694,7.536368,0.084043
22,0.995694,7.536368,0.084043
23,0.995694,7.536368,0.084043
24,0.995694,7.536368,0.084043
25,0.995694,7.536368,0.084043
26,0.995694,7.536368,0.084043
27,0.995694,7.536368,0.084043
28,0.995694,7.536368,0.084043
29,0.995694,7.536368,0.084043
30,0.995694,7.536368,0.084043
31,0.995694,7.536368,0.084043
32,0.995694,7.536368,0.084043
33,0.995694,7.536368,0.084043
34,0.995694,7.536368,0.084043
35,0.995694,7.536368,0.084043
36,0.995694,7.536368,0.084043
37,0.995694,7.536368,0.084043
38,0.995694,7.536368,0.084043
39,0.995694,7.536368,0.084043
40,0.995694,7.536368,0.084043
41,0.995694,7.536368,0.084043
42,0.995694,7.536367,0.084043
43,0.995694,7.536367,0.084043
44,0.995694,7.536367,0.084043
45,0.995694,7.536367,0.084043
46,0.995694,7.536367,0.084043
47,0.995694,7.536367,0.084043
48,0.995694,7.536367,0.084043
49,0.995694,7.536367,0.084043
50,0.995694,7.536367,0.084043
51,0.995694,7.536367,0.084043
52,0.995694,7.536367,0.084043
53,0.995694,7.536367,0.084043
54,0.995694,7.536367,0.084043
55,0.995694,7.536367,0.084043
56,0.995694,7.536367,0.084043
57,0.995694,7.536367,0.084043
58,0.995694,7.536367,0.084043
59,0.995694,7.536367,0.084043
60,0.995694,7.536367,0.084043
61,0.995694,7.536367,0.084043
62,0.995694,7.536367,0.084043
63,0.995694,7.536367,0.084043
64,0.995694,7.536367,0.084043
65,0.995694,7.536367,0.084043
66,0.995694,7.536367,0.084043
67,0.995694,7.536367,0.084044
68,0.995694,7.536367,0.084044
69,0.995694,7.536367,0.084044
70,0.995694,7.536367,0.084044
71,0.995694,7.536367,0.084044
72,0.995694,7.536367,0.084044
73,0.995694,7.536367,0.084044
74,0.995694,7.536367,0.084044
75,0.995694,7.536367,0.084044
76,0.995694,7.536367,0.084044
77,0.995694,7.536367,0.084044
78,0.995694,7.536366,0.084044
79,0.995694,7.536366,0.084044
80,0.995694,7.536366,0.084044
81,0.995694,7.536366,0.084044
82,0.995694,7.536366,0.084044
83,0.995694,7.536366,0.084044
84,0.995694,7.536366,0.084044
85,0.995694,7.536366,0.084044
86,0.995694,7.536366,0.084044
87,0.995694,7.536366,0.084044
88,0.995694,7.536366,0.084044
89,0.995694,7.536366,0.084044
90,0.995694,7.536366,0.084044
91,0.995694,7.536366,0.084044
92,0.995694,7.536366,0.084044
93,0.995694,7.536366,0.084044
94,0.995694,7.536366,0.084044
95,0.995694,7.536366,0.084044
96,0.995694,7.536366,0.084044
97,0.995694,7.536366,0.084044
98,0.995694,7.536366,0.084044
99,0.995694,7.536366,0.084044
