step,coherence,entropy,energy,operator_loss
0,0.993499,7.389264,0.011793,0.001464
1,0.993464,7.389503,0.011858,0.001470
2,0.993429,7.389742,0.011925,0.001477
3,0.993394,7.389979,0.011991,0.001483
4,0.993358,7.390216,0.012058,0.001489
5,0.993323,7.390453,0.012125,0.001496
6,0.993287,7.390688,0.012193,0.001502
7,0.993251,7.390923,0.012261,0.001509
8,0.993215,7.391157,0.012329,0.001516
9,0.993178,7.391391,0.012398,0.001522
10,0.993142,7.391624,0.012466,0.001529
11,0.993105,7.391856,0.012536,0.001535
12,0.993068,7.392088,0.012605,0.001542
13,0.993031,7.392319,0.012675,0.001549
14,0.992994,7.392549,0.012746,0.001555
15,0.992956,7.392779,0.012816,0.001562
16,0.992919,7.393009,0.012888,0.001569
17,0.992881,7.393238,0.012959,0.001576
18,0.992843,7.393466,0.013031,0.001583
19,0.992805,7.393694,0.013103,0.001589
20,0.992767,7.393921,0.013175,0.001596
21,0.992728,7.394148,0.013248,0.001603
22,0.992690,7.394375,0.013322,0.001610
23,0.992651,7.394601,0.013395,0.001617
24,0.992612,7.394826,0.013469,0.001624
25,0.992573,7.395051,0.013544,0.001631
26,0.992533,7.395276,0.013618,0.001638
27,0.992494,7.395501,0.013694,0.001645
28,0.992454,7.395725,0.013769,0.001652
29,0.992414,7.395948,0.013845,0.001659
30,0.992374,7.396171,0.013921,0.001666
31,0.992334,7.396394,0.013998,0.001673
32,0.992293,7.396617,0.014075,0.001680
33,0.992253,7.396839,0.014152,0.001688
34,0.992212,7.397061,0.014230,0.001695
35,0.992171,7.397283,0.014308,0.001702
36,0.992130,7.397504,0.014387,0.001709
37,0.992088,7.397725,0.014466,0.001717
38,0.992047,7.397946,0.014545,0.001724
39,0.992005,7.398167,0.014625,0.001731
40,0.991963,7.398387,0.014705,0.001739
41,0.991921,7.398607,0.014786,0.001746
42,0.991879,7.398827,0.014867,0.001753
43,0.991836,7.399047,0.014948,0.001761
44,0.991793,7.399266,0.015030,0.001768
45,0.991751,7.399485,0.015112,0.001776
46,0.991708,7.399704,0.015195,0.001783
47,0.991664,7.399923,0.015278,0.001791
48,0.991621,7.400142,0.015361,0.001798
49,0.991577,7.400361,0.015445,0.001806
50,0.991533,7.400579,0.015529,0.001814
51,0.991489,7.400797,0.015614,0.001821
52,0.991445,7.401016,0.015699,0.001829
53,0.991401,7.401234,0.015784,0.001837
54,0.991356,7.401452,0.015870,0.001844
55,0.991311,7.401670,0.015956,0.001852
56,0.991266,7.401887,0.016043,0.001860
57,0.991221,7.402105,0.016130,0.001868
58,0.991175,7.402323,0.016218,0.001875
59,0.991130,7.402540,0.016306,0.001883
60,0.991084,7.402758,0.016394,0.001891
61,0.991038,7.402976,0.016483,0.001899
62,0.990992,7.403193,0.016572,0.001907
63,0.990945,7.403410,0.016662,0.001915
64,0.990899,7.403628,0.016752,0.001923
65,0.990852,7.403845,0.016843,0.001931
66,0.990805,7.404063,0.016934,0.001939
67,0.990758,7.404280,0.017025,0.001947
68,0.990710,7.404498,0.017117,0.001955
69,0.990663,7.404715,0.017210,0.001963
70,0.990615,7.404932,0.017303,0.001971
71,0.990567,7.405150,0.017396,0.001980
72,0.990519,7.405367,0.017490,0.001988
73,0.990470,7.405585,0.017584,0.001996
74,0.990422,7.405803,0.017678,0.002004
75,0.990373,7.406020,0.017773,0.002013
76,0.990324,7.406238,0.017869,0.002021
77,0.990274,7.406456,0.017965,0.002029
78,0.990225,7.406674,0.018061,0.002038
79,0.990175,7.406892,0.018158,0.002046
80,0.990125,7.407110,0.018256,0.002055
81,0.990075,7.407328,0.018354,0.002063
82,0.990025,7.407547,0.018452,0.002072
83,0.989974,7.407765,0.018551,0.002080
84,0.989924,7.407983,0.018650,0.002089
85,0.989873,7.408202,0.018750,0.002097
86,0.989821,7.408421,0.018850,0.002106
87,0.989770,7.408640,0.018951,0.002115
88,0.989718,7.408859,0.019052,0.002123
89,0.989667,7.409078,0.019153,0.002132
90,0.989615,7.409297,0.019256,0.002141
91,0.989562,7.409517,0.019358,0.002149
92,0.989510,7.409737,0.019461,0.002158
93,0.989457,7.409956,0.019565,0.002167
94,0.989404,7.410176,0.019669,0.002176
95,0.989351,7.410397,0.019774,0.002185
96,0.989298,7.410617,0.019879,0.002194
97,0.989244,7.410837,0.019984,0.002203
98,0.989191,7.411058,0.020090,0.002212
99,0.989137,7.411279,0.020197,0.002221
