step,energy,order_parameter
0,129.843751,0.090121
1,60.802892,0.060442
2,29.124775,0.045208
3,14.265896,0.037666
4,7.266775,0.033515
5,3.934206,0.032080
6,2.298186,0.031356
7,1.555673,0.030909
8,1.221011,0.030376
9,0.978497,0.029468
10,0.881224,0.028993
11,0.874097,0.029210
12,0.819299,0.029450
13,0.811055,0.029639
14,0.776912,0.029148
15,0.811988,0.029730
16,0.809731,0.029775
17,0.813732,0.030148
18,0.778455,0.029977
19,0.775536,0.029746
20,0.753147,0.029677
21,0.751063,0.028981
22,0.759127,0.028823
23,0.756789,0.029231
24,0.708674,0.029112
25,0.729600,0.028798
26,0.754629,0.028284
27,0.731205,0.028730
28,0.728785,0.028954
29,0.716774,0.028738
30,0.707994,0.028171
31,0.726850,0.028657
32,0.713430,0.028264
33,0.730674,0.028217
34,0.700187,0.028445
35,0.722982,0.028539
36,0.709984,0.028518
37,0.715919,0.028857
38,0.720609,0.028885
39,0.739793,0.029794
40,0.714425,0.029829
41,0.750956,0.030218
42,0.720065,0.029745
43,0.689246,0.029338
44,0.681125,0.029211
45,0.707073,0.029536
46,0.695578,0.029362
47,0.756559,0.029365
48,0.713643,0.029337
49,0.696054,0.029467
50,0.654277,0.030756
51,0.669939,0.030956
52,0.693717,0.030274
53,0.671541,0.030131
54,0.656189,0.030105
55,0.708740,0.029699
56,0.685705,0.029589
57,0.681393,0.029705
58,0.693762,0.030119
59,0.727198,0.030753
60,0.729343,0.030438
61,0.727474,0.029923
62,0.735146,0.030227
63,0.706958,0.030320
64,0.698941,0.031217
65,0.708485,0.030520
66,0.743272,0.029554
67,0.723985,0.029686
68,0.747800,0.029811
69,0.740600,0.030698
70,0.695432,0.030419
71,0.712632,0.030588
72,0.728275,0.029646
73,0.716798,0.029738
74,0.701700,0.029363
75,0.717460,0.029408
76,0.687113,0.028855
77,0.701065,0.028953
78,0.706275,0.029084
79,0.725325,0.029632
