step,energy,control_effort,total_cost
0,50.041017,0.000000,50.041017
1,51.881522,0.000009,51.881529
2,53.967866,0.000036,53.967895
3,56.302824,0.000082,56.302889
4,58.903053,0.000146,58.903169
5,61.825287,0.000228,61.825470
6,65.090748,0.000329,65.091011
7,68.689895,0.000450,68.690255
8,72.682575,0.000589,72.683046
9,77.171832,0.000748,77.172430
10,82.080182,0.000926,82.080923
11,87.502084,0.001125,87.502984
12,93.452595,0.001343,93.453669
13,100.008807,0.001582,100.010072
14,107.177834,0.001842,107.179308
15,115.030679,0.002123,115.032377
16,123.712730,0.002425,123.714670
17,133.163388,0.002749,133.165587
18,143.557636,0.003095,143.560112
19,154.978121,0.003464,154.980892
20,167.528273,0.003856,167.531357
21,181.180657,0.004271,181.184074
22,196.215093,0.004710,196.218861
23,212.572313,0.005173,212.576451
24,230.466663,0.005660,230.471191
25,249.944983,0.006173,249.949921
26,271.289422,0.006710,271.294791
27,294.458805,0.007274,294.464624
28,319.724719,0.007864,319.731011
29,347.274252,0.008481,347.281037
30,377.115663,0.009125,377.122964
31,409.589927,0.009797,409.597765
32,444.839816,0.010497,444.848214
33,483.066782,0.011226,483.075763
34,524.334811,0.011984,524.344398
35,569.057424,0.012772,569.067642
36,617.286044,0.013590,617.296916
37,669.015587,0.014440,669.027138
38,724.021974,0.015320,724.034230
39,782.158385,0.016233,782.171372
40,842.856675,0.017178,842.870418
41,905.592740,0.018155,905.607264
42,968.659147,0.019166,968.674480
43,1031.428202,0.020209,1031.444369
44,1092.560641,0.021284,1092.577668
45,1151.009682,0.022389,1151.027594
46,1205.632966,0.023525,1205.651785
47,1255.430649,0.024688,1255.450399
48,1300.171915,0.025878,1300.192618
49,1340.277522,0.027093,1340.299197
50,1376.354185,0.028333,1376.376851
51,1407.701206,0.029596,1407.724883
52,1434.511871,0.030882,1434.536576
53,1458.549117,0.032189,1458.574868
54,1479.459052,0.033518,1479.485866
55,1497.594794,0.034869,1497.622689
56,1512.627145,0.036241,1512.656138
57,1525.461525,0.037635,1525.491633
58,1536.521693,0.039051,1536.552934
59,1545.803630,0.040488,1545.836020
60,1553.502450,0.041947,1553.536008
61,1560.307856,0.043429,1560.342599
62,1566.438786,0.044933,1566.474732
63,1571.958599,0.046459,1571.995767
64,1577.090124,0.048008,1577.128531
65,1581.806543,0.049580,1581.846207
66,1585.631796,0.051174,1585.672734
67,1588.947545,0.052790,1588.989777
68,1591.863986,0.054429,1591.907529
69,1594.036546,0.056090,1594.081418
70,1595.250641,0.057774,1595.296860
71,1596.170589,0.059482,1596.218175
72,1596.890616,0.061213,1596.939587
73,1597.314711,0.062968,1597.365085
74,1597.389036,0.064746,1597.440833
75,1597.434404,0.066549,1597.487643
76,1597.485972,0.068375,1597.540673
77,1597.542953,0.070226,1597.599134
78,1597.606561,0.072101,1597.664242
79,1597.675799,0.074000,1597.734999
80,1597.747938,0.075924,1597.808676
81,1597.830966,0.077871,1597.893263
82,1597.922932,0.079842,1597.986805
83,1598.000000,0.081837,1598.065470
84,1598.000000,0.083856,1598.067085
85,1598.000000,0.085899,1598.068719
86,1598.000000,0.087966,1598.070373
87,1598.000000,0.090056,1598.072045
88,1598.000000,0.092171,1598.073737
89,1598.000000,0.094309,1598.075447
90,1598.000000,0.096471,1598.077177
91,1598.000000,0.098657,1598.078926
92,1598.000000,0.100867,1598.080693
93,1598.000000,0.103100,1598.082480
94,1598.000000,0.105357,1598.084286
95,1598.000000,0.107637,1598.086110
96,1598.000000,0.109941,1598.087953
97,1598.000000,0.112269,1598.089815
98,1598.000000,0.114620,1598.091696
99,1598.000000,0.116995,1598.093596
