step,csi,entropy,lyapunov
0,0.741389,4.388427,593.833807
1,0.739828,4.384943,593.453577
2,0.738275,4.381572,593.084992
3,0.736729,4.378322,592.720964
4,0.735189,4.375209,592.349422
5,0.733656,4.372250,591.999190
6,0.732127,4.369465,591.643116
7,0.730603,4.366870,591.302547
8,0.729079,4.364509,590.967225
9,0.727554,4.362493,590.626473
10,0.726014,4.361083,590.296018
11,0.724461,4.360222,589.969827
12,0.722907,4.359631,589.647328
13,0.721330,4.360091,589.330608
14,0.719760,4.360685,589.016583
15,0.718200,4.361411,588.714255
16,0.716650,4.362276,588.415534
17,0.715114,4.363275,588.119376
18,0.713591,4.364404,587.828368
19,0.712084,4.365653,587.543788
20,0.710594,4.367004,587.260995
21,0.709122,4.368448,586.988783
22,0.707670,4.369967,586.723519
23,0.706240,4.371552,586.470003
24,0.704832,4.373183,586.215006
25,0.703448,4.374852,585.967650
26,0.702088,4.376548,585.729952
27,0.700754,4.378261,585.489277
28,0.699446,4.379987,585.254422
29,0.698167,4.381714,585.027189
30,0.696916,4.383441,584.811522
31,0.695693,4.385163,584.604153
32,0.694498,4.386876,584.404298
33,0.693332,4.388577,584.201811
34,0.692196,4.390260,584.006478
35,0.691090,4.391926,583.817623
36,0.690015,4.393571,583.625670
37,0.688969,4.395199,583.447589
38,0.687954,4.396806,583.274529
39,0.686969,4.398391,583.101277
40,0.686015,4.399953,582.935082
41,0.685092,4.401496,582.770800
42,0.684198,4.403018,582.616900
43,0.683337,4.404514,582.463518
44,0.682505,4.405988,582.327559
45,0.681705,4.407444,582.191703
46,0.680933,4.408876,582.060709
47,0.680192,4.410289,581.932962
48,0.679480,4.411681,581.812503
49,0.678797,4.413055,581.697282
50,0.678143,4.414410,581.585084
51,0.677520,4.415741,581.477414
52,0.676926,4.417052,581.381999
53,0.676361,4.418342,581.287768
54,0.675825,4.419610,581.191856
55,0.675319,4.420860,581.100787
56,0.674842,4.422087,581.007540
57,0.674395,4.423295,580.929790
58,0.673976,4.424485,580.860217
59,0.673585,4.425657,580.789305
60,0.673223,4.426809,580.715438
61,0.672890,4.427945,580.653214
62,0.672585,4.429065,580.597769
63,0.672308,4.430168,580.539798
64,0.672059,4.431256,580.486361
65,0.671838,4.432326,580.437509
66,0.671643,4.433383,580.394472
67,0.671476,4.434425,580.354725
68,0.671336,4.435452,580.315616
69,0.671223,4.436463,580.280236
70,0.671136,4.437460,580.245718
71,0.671076,4.438443,580.222283
72,0.671042,4.439416,580.195738
73,0.671034,4.440371,580.174086
74,0.671051,4.441312,580.152771
75,0.671094,4.442239,580.137123
76,0.671163,4.443149,580.123298
77,0.671258,4.444047,580.115594
78,0.671377,4.444933,580.104631
79,0.671521,4.445804,580.098882
80,0.671690,4.446661,580.093751
81,0.671884,4.447504,580.093508
82,0.672101,4.448333,580.093187
83,0.672343,4.449146,580.104595
84,0.672610,4.449946,580.107042
85,0.672900,4.450732,580.115926
86,0.673213,4.451506,580.123809
87,0.673550,4.452266,580.131936
88,0.673912,4.453009,580.146433
89,0.674295,4.453739,580.167229
90,0.674702,4.454454,580.184379
91,0.675133,4.455151,580.207362
92,0.675586,4.455834,580.226853
93,0.676061,4.456503,580.245496
94,0.676559,4.457158,580.274992
95,0.677079,4.457799,580.299860
96,0.677622,4.458425,580.330572
97,0.678186,4.459036,580.355399
98,0.678773,4.459631,580.384614
99,0.679381,4.460211,580.416859
